2021.bsnlp-1.15,"Slav-{NER}: the 3rd Cross-lingual Challenge on Recognition, Normalization, Classification, and Linking of Named Entities across {S}lavic Languages",2021,-1,-1,8,0,6080,jakub piskorski,Proceedings of the 8th Workshop on Balto-Slavic Natural Language Processing,0,"This paper describes Slav-NER: the 3rd Multilingual Named Entity Challenge in Slavic languages. The tasks involve recognizing mentions of named entities in Web documents, normalization of the names, and cross-lingual linking. The Challenge covers six languages and five entity types, and is organized as part of the 8th Balto-Slavic Natural Language Processing Workshop, co-located with the EACL 2021 Conference. Ten teams participated in the competition. Performance for the named entity recognition task reached 90{\%} F-measure, much higher than reported in the first edition of the Challenge. Seven teams covered all six languages, and five teams participated in the cross-lingual entity linking task. Detailed valuation information is available on the shared task web page."
2020.tlt-1.14,Implementing an End-to-End Treebank-Informed Pipeline for {B}ulgarian,2020,-1,-1,2,1,14366,alexander popov,Proceedings of the 19th International Workshop on Treebanks and Linguistic Theories,0,None
2020.lrec-1.395,A Multilingual Evaluation Dataset for Monolingual Word Sense Alignment,2020,-1,-1,37,0,6137,sina ahmadi,Proceedings of the 12th Language Resources and Evaluation Conference,0,"Aligning senses across resources and languages is a challenging task with beneficial applications in the field of natural language processing and electronic lexicography. In this paper, we describe our efforts in manually aligning monolingual dictionaries. The alignment is carried out at sense-level for various resources in 15 languages. Moreover, senses are annotated with possible semantic relationships such as broadness, narrowness, relatedness, and equivalence. In comparison to previous datasets for this task, this dataset covers a wide range of languages and resources and focuses on the more challenging task of linking general-purpose language. We believe that our data will pave the way for further advances in alignment and evaluation of word senses by creating new solutions, particularly those notoriously requiring data such as neural networks. Our resources are publicly available at https://github.com/elexis-eu/MWSA."
2020.lrec-1.571,Reconstructing {NER} Corpora: a Case Study on {B}ulgarian,2020,-1,-1,3,0,17808,iva marinova,Proceedings of the 12th Language Resources and Evaluation Conference,0,"The paper reports on the usage of deep learning methods for improving a Named Entity Recognition (NER) training corpus and for predicting and annotating new types in a test corpus. We show how the annotations in a type-based corpus of named entities (NE) were populated as occurrences within it, thus ensuring density of the training information. A deep learning model was adopted for discovering inconsistencies in the initial annotation and for learning new NE types. The evaluation results get improved after data curation, randomization and deduplication."
W19-8014,Towards transferring {B}ulgarian Sentences with Elliptical Elements to {U}niversal {D}ependencies: issues and strategies,2019,0,0,1,1,12058,petya osenova,"Proceedings of the Third Workshop on Universal Dependencies (UDW, SyntaxFest 2019)",0,None
W19-5109,Modeling {MWE}s in {BTB}-{WN},2019,0,0,2,1,17809,laska laskova,Proceedings of the Joint Workshop on Multiword Expressions and WordNet (MWE-WN 2019),0,"The paper presents the characteristics of the predominant types of MultiWord expressions (MWEs) in the BulTreeBank WordNet {--} BTB-WN. Their distribution in BTB-WN is discussed with respect to the overall hierarchical organization of the lexical resource. Also, a catena-based modeling is proposed for handling the issues of lexical semantics of MWEs."
R19-1110,Know Your Graph. State-of-the-Art Knowledge-Based {WSD},2019,0,0,3,1,14366,alexander popov,Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2019),0,"This paper introduces several improvements over the current state of the art in knowledge-based word sense disambiguation. Those innovations are the result of modifying and enriching a knowledge base created originally on the basis of WordNet. They reflect several separate but connected strategies: manipulating the shape and the content of the knowledge base, assigning weights over the relations in the knowledge base, and the addition of new relations to it. The main contribution of the paper is to demonstrate that the previously proposed knowledge bases organize linguistic and world knowledge suboptimally for the task of word sense disambiguation. In doing so, the paper also establishes a new state of the art for knowledge-based approaches. Its best models are competitive in the broader context of supervised systems as well."
R19-1127,A Morpho-Syntactically Informed {LSTM}-{CRF} Model for Named Entity Recognition,2019,37,0,3,0,25357,lilia simeonova,Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2019),0,"We propose a morphologically informed model for named entity recognition, which is based on LSTM-CRF architecture and combines word embeddings, Bi-LSTM character embeddings, part-of-speech (POS) tags, and morphological information. While previous work has focused on learning from raw word input, using word and character embeddings only, we show that for morphologically rich languages, such as Bulgarian, access to POS information contributes more to the performance gains than the detailed morphological information. Thus, we show that named entity recognition needs only coarse-grained POS tags, but at the same time it can benefit from simultaneously using some POS information of different granularity. Our evaluation results over a standard dataset show sizeable improvements over the state-of-the-art for Bulgarian NER."
2019.gwc-1.37,Aligning the {B}ulgarian {BTB} {W}ord{N}et with the {B}ulgarian {W}ikipedia,2019,-1,-1,2,0,14367,kiril simov,Proceedings of the 10th Global Wordnet Conference,0,The paper reports on an ongoing work that manually maps the Bulgarian WordNet BTB-WN with Bulgarian Wikipedia. The preparatory work of extracting the Wikipedia articles and provisionally relating them to the WordNet lemmas was done automatically. The manual work includes checking of the corresponding senses in both resources as well as the missing ones. The main cases of mapping are considered. The first experiments of mapping about 1000 synsets show the establishment of more than 78 {\%} of exact correspondences and nearly 15 {\%} of new synsets.
2018.gwc-1.33,Grammatical Role Embeddings for Enhancements of Relation Density in the {P}rinceton {W}ord{N}et,2018,-1,-1,4,0,14367,kiril simov,Proceedings of the 9th Global Wordnet Conference,0,"In this paper we present an approach for training verb subatom embeddings. For each verb we learn several embeddings rather than only one. These embeddings include the verb itself as well as embeddings for each grammatical role of this verb. To give an example, for the verb {`}to give{'} we learn four embeddings: one for the lemma {`}give{'}, one for the subject, one for the direct object and one for the indirect object. We have exploited these grammatical role embeddings in order to add new syntagmatic relations to WordNet. The evaluation of the new relations quality has been done extrinsically through the Knowledge-based Word Sense Disambiguation task."
W17-7617,Recent Developments within {B}ul{T}ree{B}ank,2017,-1,-1,1,1,12058,petya osenova,Proceedings of the 16th International Workshop on Treebanks and Linguistic Theories,0,None
osenova-simov-2017-bulgarian,{B}ulgarian-{E}nglish and {E}nglish-{B}ulgarian Machine Translation: System Design and Evaluation,2017,0,0,1,1,12058,petya osenova,"Proceedings of the International Conference Recent Advances in Natural Language Processing, {RANLP} 2017",0,"The paper presents a deep factored machine translation (MT) system between English and Bulgarian languages in both directions. The MT system is hybrid. It consists of three main steps: (1) the source-language text is linguistically annotated, (2) it is translated to the target language with the Moses system, and (3) translation is post-processed with the help of the transferred linguistic annotation from the source text. Besides automatic evaluation we performed manual evaluation over a domain test suite of sentences demonstrating certain phenomena like imperatives, questions, etc."
simov-etal-2017-towards,Towards Lexical Chains for Knowledge-Graph-based Word Embeddings,2017,12,1,3,0,14367,kiril simov,"Proceedings of the International Conference Recent Advances in Natural Language Processing, {RANLP} 2017",0,"Word vectors with varying dimensionalities and produced by different algorithms have been extensively used in NLP. The corpora that the algorithms are trained on can contain either natural language text (e.g. Wikipedia or newswire articles) or artificially-generated pseudo corpora due to natural data sparseness. We exploit Lexical Chain based templates over Knowledge Graph for generating pseudo-corpora with controlled linguistic value. These corpora are then used for learning word embeddings. A number of experiments have been conducted over the following test sets: WordSim353 Similarity, WordSim353 Relatedness and SimLex-999. The results show that, on the one hand, the incorporation of many-relation lexical chains improves results, but on the other hand, unrestricted-length chains remain difficult to handle with respect to their huge quantity."
W16-6403,A Hybrid Approach for Deep Machine Translation,2016,-1,-1,2,0,14367,kiril simov,Proceedings of the 2nd Deep Machine Translation Workshop,0,None
